0	1	a	[PWC] Workflow parado: process._wf_Lanzadera_Clonados_BIGDATA
1	2	a	Error proceso wf_CDRS_Tac_Codes
2	2	a	Revision Centinelas de PWC
3	3	a	RV: (*****) Carga BI (P_Almacenado) No procesada correctamente [SQLPBI]
4	1	a	Revisión Monitorización Disponibilidad Plataforma Hadoop
5	3	a	RV: (*****) Carga NRT COBERTURA_LOG No procesado
6	3	a	RV: (*****) Importar datos PEPEPHONE No procesada
7	3	a	RV: (*****) Importar datos PEPEPHONE No procesada
8	1	a	Fallo en la ejecución del PIG de dwh.fctr_llamaya 20191023_1636
9	1	a	RV: Fallo en la ejecucion del PIG de dwh.fctr_llamaya 20191023_1636
10	3	a	RV: (*****) Carga BI (P_Almacenado) No procesada correctamente [SQLPBI]
11	1	a	RV: Fallo en insert de Impala de emms_cdrs.roaming_out_total 20191023_1614 para el dia 20191021
12	1	a	No existen ficheros para cargar DWH.fctr_llamaya 20191023_1620
13	3	a	RV: (*****) ERROR en Lanzar Informe NEBA_Negocio
14	3	a	RV: (*****) Carga BI (P_Almacenado) No procesada correctamente [SQLPBI]
15	1	a	Error proceso wf_BIGDATA_FCTR_LLAMAYA
16	1	a	RV: Fallo en la ejecucion del PIG de dwh.fctr_llamaya 20191023_1330
17	1	a	Fallo en la ejecución del PIG de dwh.fctr_llamaya 20191023_1330
18	1	a	Incidencias clonados jira en masmovil_Dwh
19	3	a	Revisar cargas pepe 24x7 y revisar Daily e informes críticos
20	3	a	log_carga_bluetab-msm > LogCargaNocturna > Revisar carga Pepephone Adsl. No ha finalizado correctamente
21	2	a	Error proceso wf_Q25_TerminalReturn_A
22	1	a	[PWC][Retraso][Informe] A001_ALTOS_CONSUMOS_POS_TRADICIONAL
23	1	a	[PWC][Retraso][Informe] A002_ALTOS_CONSUMOS_ANTIGUOS_POS_TRADICIONAL
24	1	a	[PWC][Retraso][Informe] V003_Ventas_Seguimiento_venta_detalle
25	1	a	[PWC][Retraso][Informe] ALTOS_CONSUMOS_UNION
26	1	a	[PWC][Retraso][Informe] V010_Ventas_Seguimiento_Negocios_SVA
27	1	a	[PWC][Retraso][Informe] A002_ALTOS_CONSUMOS_ANTIGUOS_POS_CONVERGENTE
28	1	a	[PWC][Retraso][Informe] A006_LIMITE_CONSUMO
29	1	a	[PWC][Retraso][Informe] A001_ALTOS_CONSUMOS_POS_CONVERGENTE
30	1	a	[PWC][Retraso][Informe] V003_Ventas_Seguimiento_v3
31	1	a	[PWC] Workflow parado: process._wf_Lanzadera_Clonados_BIGDATA
32	2	a	Error proceso wf_EMMS_ROAMING_OUT_and_IN
33	2	a	Error proceso wf_SEGUROS_TELEVENTA
34	2	a	Revision Centinelas de PWC
35	1	a	RV: Fallo en insert de Impala de emms_cdrs.roaming_out_total 20191022_1414 para el dia 20191021
36	2	a	Cambios wf V003_Ventas _Seguimiento_v3
37	2	a	Error proceso wf_EMMS_ROAMING_OUT_and_IN
38	2	a	Error proceso wf_EMMS_process
39	2	a	Error proceso wf_Proceso_OrdersByCif
40	2	a	Error proceso wf_EMMS_ONLINE_YOIGO_VOICE
41	2	a	Error proceso wf_BIGDATA_ONLINE_PGW_PRE
42	1	a	Fallo en la ejecución del PIG de emms_cdrs.gprs_pgw_pre 20191022_1315
43	1	a	RV: Fallo en la ejecucion del PIG de emms_cdrs.gprs_pgw_pre 20191022_1315
44	4	a	Incidencia en informes BYSIDE
45	1	a	Error proceso wf_MM_V003_Ventas_Seguimiento_v3
46	1	a	RV: Fallo subida HDFS radius_full, Movido a Failed
47	1	a	RV: Fallo en insert de Impala de drl.org_voice_dual 20191021_1728 para el dia 20191021
48	1	a	RV: Fallo en insert de Impala de dwh.radius_full 20191021_1707 para el dia 20190715
49	1	a	RV: Fallo en insert de Impala de drl.gprs_dual 20191021_1702 para el dia 20191021 en yoigo_gprs-gprs_dual
50	1	a	RV: Fallo en insert de Impala de emms_cdrs.gprs_pgw_pre 20191021_1715 para el dia 20191021
51	2	a	Error proceso wf_ICX_completed
52	2	a	Estructura ficheros CONTROL_DOC
53	1	a	[PWC][Retraso][Informe] V003_Activaciones_Seguimiento_detalle
54	3	a	RV: (*****) ZZZZ_ADV-32112 PROMOCIONES APLICADAS No procesado
55	1	a	NO SE HA GENERADO EL TAR.GZ PARA dwh.radius_full 20191022_0855
